DATAFLOW,LAST UPDATE,freq,nace_r2,indic_em,sex,isco08,worktime,age,indic_se,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LV,2010,16.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LV,2014,22.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,LV,2018,25.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,ME,2014,26.0,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,MK,2010,39.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,MK,2014,39.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,MT,2010,56.3,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,MT,2014,43.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,MT,2018,39.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,NL,2010,48.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,NL,2014,32.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,NL,2018,43.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,NO,2010,32.9,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,NO,2014,30.8,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,NO,2018,27.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,PL,2010,29.1,b
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,PL,2014,31.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,PL,2018,30.3,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,PT,2010,28.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,PT,2014,25.8,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,PT,2018,20.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,RO,2010,33.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,RO,2014,30.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,RO,2018,27.3,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,RS,2014,33.1,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,RS,2018,30.2,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SE,2010,30.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SE,2014,26.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SE,2018,23.8,b
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SI,2010,12.5,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SI,2014,19.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SI,2018,20.7,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SK,2010,32.8,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SK,2014,32.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,SK,2018,30.6,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,TR,2010,60.4,
ESTAT:TEQGES01(1.0),20/06/23 23:00:00,A,B-S_X_O,EMP_LFS,NAP,TOTAL,TOTAL,TOTAL,MEAN_E_EUR,PC,TR,2014,57.9,b
